Processo,Evento,Time (ms),REF,Measure,EC Sensor Calibration Value,pH Sensor Calibration Value,Nitrate Sensor Calibration Value,GPIO2,GPIO4,GPIO5,GPIO12,GPIO13,GPIO14,GPIO15,GPIO16,GPIO17,GPIO18,GPIO19,GPIO21,GPIO22,GPIO23,GPIO25,GPIO26,GPIO27,GPIO32,GPIO33
,,Element,,,,        ,,V1 (ON/OFF) (H20/Air Vent),V2 (ON/OFF) (Sample/Comun),V5 (ON/OFF)  (In pH=4/Comun ),V6 (ON/OFF)  (In pH=7/Comun ),PP2 (in to Sensor),PP1 (Out),V4 (OFF TANK ON V3),,,V3 ((OFF pH4.01 ON pH6.86),,,,,,,,,
,Ar esvaziar circuito,60000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vinj pH3,30000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ar plug pH 4.01,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Esperar,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Medir pH 4.01,1000,0,1,0,4.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ar esvaziar circuito,59000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Vinj pH 6.86,30000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ar plug pH 6.86,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Esperar,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Medir pH 6.86,1000,0,1,0,6.86,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ar esvaziar circuito,59000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
